Módulo atual,Faltas Consecutivas,Histórico de reprovações,Histórico de Recuperação,Historico de Reprovado por Falta (disciplinas),Idade,Sexo (código),Pend. Acad.,Possui Pendência Financeira,Bolsista,Antecipou Parcela
0,0,0,0,0,20,0,0,0,0,0
0,1,0,0,0,48,0,0,0,0,0
1,0,0,0,0,30,0,0,0,0,0
0,0,0,0,0,45,0,0,0,0,0
0,3,0,0,3,22,0,0,1,0,0
0,3,0,0,0,25,0,0,0,0,0
0,5,0,0,13,29,0,0,1,0,0
0,0,0,0,1,37,0,1,0,0,0
0,0,0,0,0,34,1,0,0,0,0
0,13,0,0,4,22,0,0,1,0,0
0,0,0,0,14,45,0,0,1,0,0
0,13,0,1,2,27,0,0,1,0,0
0,0,0,3,0,29,0,0,1,0,0
1,0,0,0,0,37,0,0,0,0,0
0,0,0,0,0,21,0,0,0,0,0
0,0,0,0,0,22,0,0,0,0,0
0,0,1,0,0,23,0,0,0,0,0
0,13,0,0,2,22,0,0,1,0,0
0,0,0,0,0,22,0,0,0,0,0
4,1,1,1,6,32,0,0,1,0,0
0,0,0,0,0,24,0,0,0,0,0
1,0,0,0,0,43,0,0,0,0,0
0,0,0,0,0,20,0,0,0,0,0
0,0,1,0,0,34,0,0,0,0,0
0,33,0,0,11,21,0,0,1,0,0
4,2,0,1,8,45,0,0,1,0,0
0,0,0,0,0,21,1,0,0,0,0
0,0,0,0,0,26,0,0,0,0,0
0,0,0,0,0,23,1,0,0,0,0
0,13,0,0,12,26,0,0,1,0,0
0,3,0,1,3,38,0,0,1,0,0
0,3,0,1,3,35,1,0,1,0,0
0,0,1,0,9,25,1,1,0,0,0
0,0,0,0,0,47,0,0,0,0,0
4,13,0,0,5,32,0,0,1,0,0
0,0,0,0,0,24,0,0,0,0,0
0,0,1,0,0,36,0,0,0,0,0
0,0,0,0,3,24,0,1,0,0,0
0,0,0,0,1,31,0,0,0,1,0
2,0,0,0,0,20,0,0,0,0,0
4,0,0,1,3,26,0,0,1,0,0
0,13,0,0,2,44,0,0,1,0,0
0,0,0,2,0,40,0,1,0,0,0
0,2,0,0,0,46,1,0,0,0,0
0,13,0,0,8,33,0,0,1,0,0
2,2,0,0,0,25,0,0,0,0,0
0,0,0,0,0,23,0,0,0,0,0
0,0,0,3,1,41,0,1,0,0,0
0,0,0,0,0,29,0,0,0,0,0
2,13,0,0,0,25,0,0,0,0,0
0,0,0,0,0,34,0,0,0,0,0
4,0,0,0,4,44,0,0,1,0,0
4,0,0,0,0,23,0,0,0,0,0
2,1,0,0,0,25,0,0,0,0,0
0,0,4,6,2,19,0,1,0,0,0
0,7,0,0,0,22,0,0,0,0,0
1,0,0,0,1,34,0,0,0,0,0
4,0,0,1,5,23,0,0,1,0,0
4,0,0,0,6,50,0,0,1,0,0
1,8,0,0,1,31,0,0,0,0,0
0,0,0,1,0,33,0,1,0,0,0
0,2,0,0,0,22,0,0,0,0,0
1,3,0,0,1,27,0,0,0,0,0
0,0,0,0,1,23,0,1,0,0,0
1,10,0,0,2,31,0,0,0,0,0
4,0,0,0,6,25,0,0,1,0,0
0,2,0,0,0,20,0,0,0,0,0
0,0,1,0,0,28,0,1,0,0,0
4,0,0,0,7,37,0,0,1,0,0
1,0,0,0,0,24,0,0,0,0,0
0,0,1,0,0,25,1,1,0,0,0
0,0,3,3,1,22,0,1,0,0,0
4,4,0,0,5,22,0,0,1,0,0
4,13,0,0,6,42,0,0,1,0,0
4,0,0,2,5,29,0,0,1,0,0
4,6,0,0,6,25,0,0,1,0,0
0,0,0,0,0,21,0,0,0,0,0
